location,source,target
appb.xml:75,"Trac is a bit more than a bug tracker: it's really an integrated wiki and bug tracking system. It uses wiki linking to connect issues, files, version control changesets, and plain wiki pages. It's fairly simple to set up, and integrates with Subversion (see <xref linkend=""vc-systems""/>).","Trac é máis que un sistema de reporte de bugs, en realidade é un sistema que integra wiki e un ""bug tracker"". Emprega wiki links para ligar temas, arquivos, grupos de mudanzas de control de versións e páxinas wiki simples. É bastante sinxelo de configurar e pódese integrar con Subversion (ver <xref linkend=""vc-systems""/>)."
appb.xml:84,"<emphasis role=""bold"">Roundup</emphasis>&nbsp;&mdash;&nbsp;<ulink url=""http://roundup.sourceforge.net/""></ulink>","<emphasis role=""bold"">Roundup</emphasis>&nbsp;&mdash;&nbsp;<ulink url=""http://roundup.sourceforge.net/""></ulink>"
appb.xml:86,"Roundup is pretty easy to install (only Python 2.1 or higher is required), and simple to use. It has web, email, and command-line interfaces. The issue data templates and web interface are customizable, as is some of its state-transition logic.","Roundup é bastante sinxelo de instalar (só é necesario un Python 2.1 o superior) e fácil de usar. Ten tanto interface web, coma interface e-mail e en liña de comandos. O molde (""template"") de datos dos bugs e a interface web son personalizables, así como parte da lóxica de transición de estados."
appb.xml:94,"<emphasis role=""bold"">Mantis</emphasis>&nbsp;&mdash;&nbsp;<ulink url=""http://www.mantisbt.org/""></ulink>","<emphasis role=""bold"">Mantis</emphasis>&nbsp;&mdash;&nbsp;<ulink url=""http://www.mantisbt.org/""></ulink>"
appb.xml:96,"Mantis is a web-based bug tracking system, written in PHP, and using MySQL database for storage. It has the features you'd expect. Personally, I find the web interface clean, intuitive, and easy on the eyes.","Mantis é un sistema de xestión de bugs en web, escrito en PHP e que emprega MySQL como base de datos de almacenaxe. Presenta as características que calquera esperaría deste tipo de programas. Persoalmente, acho a súa interface web atractiva, elegante e intuitiva."
appb.xml:104,"<emphasis role=""bold"">Flyspray</emphasis>&nbsp;&mdash;&nbsp;<ulink url=""http://www.flyspray.org/""></ulink>","<emphasis role=""bold"">Flyspray</emphasis>&nbsp;&mdash;&nbsp;<ulink url=""http://www.flyspray.org/""></ulink>"
appb.xml:106,"Flyspray is a web-based bug tracking system written in PHP. Its web pages describe it as ""uncomplicated"", and the list of features includes: multiple database support (currently MySQL and PGSQL); multiple projects; 'watching' tasks, with notification of changes (via email or Jabber); comprehensive task history; CSS theming; file attachments; advanced search features (though easy to use); RSS/Atom feeds; wiki and plaintext input; voting; dependency graphs.","Flyspray é un sistema web de xestión de bugs escrito en PHP. Segundo a súa páxina web é un sistema ""pouco complicado"" que inclúe as seguintes funcionalidades: soporte para diferentes bases de datos (nesta altura MySQL e PGSQL), xestión de múltiples proxectos, monitoramento de tarefas con notificacións de mudanzas (vía email ou jabber), histórico de tarefas exaustivo, deseño CSS, ficheiros adxuntos, ferramentas avanzadas de procura (mais sinxelas de manexar), sindicación vía RSS/Atom, admite entradas en wiki ou texto plano, mecanismos de votacións e gráficos de dependencia."
appb.xml:117,"<emphasis role=""bold"">Scarab</emphasis>&nbsp;&mdash;&nbsp;<ulink url=""http://scarab.tigris.org/""></ulink>","<emphasis role=""bold"">Scarab</emphasis>&nbsp;&mdash;&nbsp;<ulink url=""http://scarab.tigris.org/""></ulink>"
appb.xml:119,"Scarab is meant to be a highly customizable, full-featured bug tracker, offering more or less the union of the features offered by other bug trackers: data entry, queries, reports, notifications to interested parties, collaborative accumulation of comments, and dependency tracking.","A idea principal de Scarab é operar como un sistema completo de xestión de bugs, altamente adaptable, que ofrece, máis ou menos, a unión das ferramentas que ofrecen outros sistemas de este tipo: entrada de datos, consultas, informes, notificacións ás partes interesadas, almacenaxe de comentarios colaborativos e rexistro de dependencias."
appb.xml:125,"It is customizable through administrative web pages. You can have multiple ""modules"" (projects) active in a single Scarab installation. Within a given module, you can create new issue types (defects, enhancements, tasks, support requests, etc.), and add arbitrary attributes, to tune the tracker to your project's specific requirements.","Pode ser personalizado mediante páxinas web de admistración. Permite ter activos, nunha única instalación de Scarab, varios ""módulos"" (proxectos) simultáneamente. Dentro de cada módulo é posible crear novos tipos de elementos (soporte de peticións, defectos, melloras, tarefas, etc.) e engadir outros atributos arbitrarios. Todo isto permite adaptar o sistema aos requisitos determinados de cada proxecto."
appb.xml:132,"As of late 2004, Scarab was getting close to its 1.0 release.",A finais de 2004 estaba a punto de ser publicada a versión 1.0 de Scarab.
appb.xml:138,"<emphasis role=""bold"">Debian Bug Tracking System (DBTS)</emphasis>&nbsp;&mdash;&nbsp;<ulink url=""http://www.chiark.greenend.org.uk/~ian/debbugs/""></ulink>","<emphasis role=""bold"">Debian Bug Tracking System (DBTS)</emphasis>&nbsp;&mdash;&nbsp;<ulink url=""http://www.chiark.greenend.org.uk/~ian/debbugs/""></ulink>"
appb.xml:140,"The Debian Bug Tracking System is unusual in that all input and manipulation of issues is done via email: each issue gets its own dedicated email address. The DBTS scales pretty well: <ulink url=""http://bugs.debian.org/""></ulink> has 277,741 issues, for example.","O Debian Bug Tracking System é inusual en tanto que toda a introdución e manipulación de erros se fai vía e-mail: cada erro recibe o seu propio enderezo de e-mail. O DBTS escala bastante ben: por exemplo. <ulink url=""http://bugs.debian.org/""></ulink> ten 277.741 erros."
appb.xml:144,"Since interaction is done via regular mail clients, an environment which is familiar and easily accessible to most people, the DBTS is good for handling high volumes of incoming reports that need quick classification and response. There are disadvantages too, of course. Developers must invest the time needed to learn the email command system, and users must write their bug reports without a web form to guide them in choosing what information to write. There are tools available to help users send better bug reports, such as the command-line <command>reportbug</command> program or the <systemitem>debbugs-el</systemitem> package for Emacs. But most people won't use these tools; they'll just write email manually, and they may or may not follow the bug reporting guidelines posted by your project.","Dado que a interacción é feita mediante clientes de e-mail, un entorno fácilmente accesible e ao que están afeitos moitos usuarios, o DBTS é bo para manexar, clasificar e responder rapidamente a un gran volume de notificacións de erro. Por suposto, ten desvantaxes tamén. Os desenvolvedores deben investir tempo para aprenderen o sistema de comandos de e-mail e os usuarios deben escribir os informes de erro sen un formulario que os guíe na información que hai que incluír. Existen ferramentas para axudar os usuarios a escribiren mellores informes de erros tais como un programa en liña de comandos ou o paquete <systemitem>debbugs-el</systemitem> para Emacs. A maioría da xente non usa estas ferramentas xa que prefiren escribir os e-mails manualmente, e pode que cumpran ou non as regras sobre notificación do proxecto."
appb.xml:158,"The DBTS has a read-only web interface, for viewing and querying issues.",O DBTS ten unha interface web exclusivamente de lectura para visualizar e consultar erros.
appb.xml:164,Trouble-Ticket Trackers,"<emphasis role=""bold"">Sistemas de rexistro de tickets de problemas (Trouble-Ticket Trackers)</emphasis>"
appb.xml:166,"These are more oriented toward help desk ticket tracking than software bug tracking. You'll probably do better with a regular bug tracker, but these are listed for the sake of completeness, and because there could conceivably be unusual projects for which a trouble-ticket system might be more appropriate than a traditional bug tracker.","Estes sistemas están máis orientados á xestión de tickets de axuda que á xestión de erros en programas de software. A pesar de que un sistema ""bugtracker"" normal pode ser o máis adecuado, estes sistemas inclúense nesta obra en prol dun traballo o máis completo posible. Porén, en algúns proxectos poden ser máis axeitados que os tradicionais sistemas de xestión de erros."
appb.xml:175,"<emphasis role=""bold"">WebCall</emphasis>&nbsp;&mdash;&nbsp;<ulink url=""http://myrapid.com/webcall/""></ulink>","<emphasis role=""bold"">WebCall</emphasis>&nbsp;&mdash;&nbsp;<ulink url=""http://myrapid.com/webcall/""></ulink>"
appb.xml:183,"<emphasis role=""bold"">Bluetail Ticket Tracker (BTT)</emphasis>&nbsp;&mdash;&nbsp;<ulink url=""http://btt.sourceforge.net/""></ulink>","<emphasis role=""bold"">Bluetail Ticket Tracker (BTT)</emphasis>&nbsp;&mdash;&nbsp;<ulink url=""http://btt.sourceforge.net/""></ulink>"
appb.xml:185,"BTT is somewhere between a standard trouble-ticket tracker and a bug tracker. It offers privacy features that are somewhat unusual among open source bug trackers: users of the system are categorized as Staff, Friend, Customer, or Anonymous, and more or less data is available depending on one's category. It offers some email integration, a command-line interface, and mechanisms for converting emails into tickets. It also has features for maintaining information not associated with any specific ticket, such as internal documentation or FAQs.","BTT é unha mestura entre un sistema de rexistro de tickets e un xestor de bugs. Ofrece mecanismos de privacidade que non son frecuentes entre os xestores de bugs. Os usuarios do sistema son clasificados en categorías: empregado (staff), amigo (friend), cliente (customer) ou anónimo. Esta clasificación define o nivel de acceso a máis ou menos datos en función da categoría de cada usuario. Ofrece unha certa integración co e-mail, unha interface de liña de comandos e mecanismos para a conversión de mensaxes de correo electrónico en tickets. Tamén pode xestionar certa información non vinculada directamente a un ticket específico, como documentación interna ou preguntas frecuentes."
