comment,original,translation
ch02.xml:131,"Always look around to see if there's an existing project that does what you want. The chances are pretty good that whatever problem you want solved now, someone else wanted solved before you. If they did solve it, and released their code under a free license, then there's no reason for you to reinvent the wheel today. There are exceptions, of course: if you want to start a project as an educational experience, pre-existing code won't help; or maybe the project you have in mind is so specialized that you know there is zero chance anyone else has done it. But generally, there's no point not looking, and the payoff can be huge. If the usual Internet search engines don't turn up anything, try searching on <ulink url=""http://freshmeat.net/""></ulink> (an open source project news site, about which more will be said later), on <ulink url=""http://www.sourceforge.net/""></ulink>, and in the Free Software Foundation's directory of free software at <ulink url=""http://directory.fsf.org/""></ulink>.","Mira sempre ó teu arredor para ver si existe un proxecto que fai o que desexas. Son grandes as posibilidades de que calquera problema que desexas resolver agora, xa o desexase resolver alguén máis anteriormente. Se o resolveron e publicaron o código baixo unha licencia libre, non hai razón algunha para que reinventes a roda. Por suposto que hai excepcións: si desexas iniciar un proxecto como unha experiencia educativa, o código existente non é de axuda ou cecáis o proxecto que tes en mente é tan especializado que sabes que non existe a posibilidade de que alguén o teña feito xa. Mais en xeral, non hai excusa para non investigar e a recompensa pode ser grande. Si os buscadores habituais de internet non mostran nada, trata de buscar en <ulink url=""http://freshmeat.net/""></ulink> (unha web sobre noticias de proxectos de software libre, sobre o cal se falará máis tarde), en<ulink url=""http://www.sourceforge.net/""></ulink> e no directorio de proxectos de software libre da Free Software Foundation <ulink url=""http://directory.fsf.org/""></ulink>."
ch02.xml:148,"Even if you don't find exactly what you were looking for, you might find something so close that it makes more sense to join that project and add functionality than to start from scratch yourself.","Incluso se non atopas exactamente o que estás buscando, podes atopar algo tan parecido que ten máis senso unirse a ese proxecto e engadir a funcionalidade desexada que empezar un novo pola túa conta."
ch02.xml:160,Starting From What You Have,Empeza co que teñas
ch02.xml:162,"You've looked around, found that nothing out there really fits your needs, and decided to start a new project.","Tes investigado, sen atopar nada que encaixe coas túas necesidades e decidiches comezar un novo proxecto."
ch02.xml:165,What now?,E agora que?
ch02.xml:167,"The hardest part about launching a free software project is transforming a private vision into a public one. You or your organization may know perfectly well what you want, but expressing that goal comprehensibly to the world is a fair amount of work. It is essential, however, that you take the time to do it. You and the other founders must decide what the project is really about&mdash;that is, decide its limitations, what it <emphasis>won't</emphasis> do as well as what it will&mdash;and write up a mission statement. This part is usually not too hard, though it can sometimes reveal unspoken assumptions and even disagreements about the nature of the project, which is fine: better to resolve those now than later. The next step is to package up the project for public consumption, and this is, basically, pure drudgery.","O máis complexo sobre lanzar un proxecto de software libre é transformar unha visión privada nunha pública. Ti ou a túa organización pode coñecer perfectamente que desexades, pero expresar ese obxectivo dunha maneira comprensible ó mundo é unha boa cantidade de traballo. porén, é esencial que te tomes o teu tempo para facelo. Ti e os outros fundadores debedes decidir de qué vai en verdade o proxecto &dash; é dicir, decidir as súas limitacións, que fará e que <emphasis>non</emphasis>&mdash; e escribir unha declaración de intencións. Esta parte non acostuma a ser moi complexa aínda que algunhas veces pode revelar asuncións implícitas e incluso desacordos sobre a natureza do proxecto, o que está ben: é mellor resolvelas agora que máis tarde. O seguinte paso é empaquetar o proxecto para o consumo do público, e esto é, básicamente, unha verdadeira pesadez."
ch02.xml:181,"What makes it so laborious is that it consists mainly of organizing and documenting things everyone already knows&mdash;""everyone"", that is, who's been involved in the project so far. Thus, for the people doing the work, there is no immediate benefit. They do not need a <filename>README</filename> file giving an overview of the project, nor a design document or user manual. They do not need a carefully arranged code tree conforming to the informal but widespread standards of software source distributions. Whatever way the source code is arranged is fine for them, because they're already accustomed to it anyway, and if the code runs at all, they know how to use it. It doesn't even matter, for them, if the fundamental architectural assumptions of the project remain undocumented; they're already familiar with that too.","O que o fai tan laborioso é que consiste principalmente en organizar e documentar as cousas que xa todo o mundo sabe&mdash; ""todo o mundo"", é dicir, todos aqueles que teñen participado no proxecto ata o de agora. Así que, para a xente que fai o traballo non hai beneficio directo por realizar esta tarefa. Eles non precisan un arquivo chamado <filename>README</filename> que resuma o proxecto, nin un documento de deseño ou manual de usuario. Non precisan unha árbore de código meticulasamente ordeada conforme a informais pero ampliamente difundidos estándares de distribución de código fonte. Sexa cal sexa a maneira en que o código fonte esté organizado está ben para eles, xa que están afeitos a el e si o código funciona, saben cómo usalo. Nen sequera importa si as asuncións fundamentais da arquitectura do proxecto están sen documentar, xa están familiarizados con iso tamén."
ch02.xml:195,"Newcomers, on the other hand, need these things. Fortunately, they don't need them all at once. It's not necessary for you to provide every possible resource before taking a project public. In a perfect world, perhaps, every new open source project would start out life with a thorough design document, a complete user manual (with special markings for features planned but not yet implemented), beautifully and portably packaged code, capable of running on any computing platform, and so on. In reality, taking care of all these loose ends would be prohibitively time-consuming, and anyway, it's work that one can reasonably hope volunteers will help with once the project is under way.","Por outra banda, os recén chegados, precisan esas cousas. Afortunadamente, non as precisan todas á vez. Non é necesario que proporcionar tódolos recursos posibles antes de facer un proxecto público. Cecáis nun mundo perfecto, cada novo proxecto de software libre comezaría a súa vida cun exhaustivo documento de deseño, un manual de usuario completo (con marcas especiais para funcionalidades planeadas pero aínda sen implementar), código bonito e portable, capaz de executarse en calquera plataforma e así. En verdade, preocuparse de todos esos flecos consumiría demasiado tempo e, de calquera forma, é traballo que un pode confiar en que fagan os voluntarios unhas vez o proxecto esté en marcha."
ch02.xml:207,"What <emphasis>is</emphasis> necessary, however, is that enough investment be put into presentation that newcomers can get past the initial obstacle of unfamiliarity. Think of it as the first step in a bootstrapping process, to bring the project to a kind of minimum activation energy. I've heard this threshold called the <firstterm>hacktivation energy</firstterm>: the amount of energy a newcomer must put in before she starts getting something back. The lower a project's hacktivation energy, the better. Your first task is bring the hacktivation energy down to a level that encourages people to get involved.","Porén, o que <emphasis>sí</emphasis> é necesario, é invertir suficiente esforzo na presentación do proxecto, de modo que os recén chegados poidan superar o obstáculo inicial de non estar familiarizados co proxecto. Pensa nisto como o primeiro paso no proceso de arranque, para levar ó proxecto a un punto de mínima activación de enerxía. Teño oído chamarlle a este umbral <firstterm>enerxía de hacktivación</firsterm>: a cantidade de enerxía que debe aportar un recén chegado antes de recibir algo a cambio. Canto menor sexa o punto de hacktivación, mellor. A túa primera tarefa é baixar este umbral ata un nivel que anime á xente a participar."
ch02.xml:218,"Each of the following subsections describes one important aspect of starting a new project. They are presented roughly in the order that a new visitor would encounter them, though of course the order in which you actually implement them might be different. You can treat them as a checklist. When starting a project, just go down the list and make sure you've got each item covered, or at least that you're comfortable with the potential consequences if you've left one out.","Cada unha das seguintes subseccións describe un aspecto importante de comezar un novo proxecto. Son presentadas aproximadamente no orde que un novo visitante as atoparía, aínda que a orde en que sexan implementadas pode ser diferente. Poden ser tomadas como unha lista de tarefas. Cando inicies un proxecto, revisa a lista e asegúrate de que cada unha das partes foron consideradas, ou polo menos que estés cómodo coas potenciais consecuencias de deixar algunha sen realizar."
ch02.xml:229,Choose a Good Name,Elixe un bo nome
ch02.xml:231,"Put yourself in the shoes of someone who's just heard about your project, perhaps by having stumbled across it while searching for software to solve some problem. The first thing they'll encounter is the project's name.","Ponte na posición de alguén que acaba de oir sobre o proxecto, cecáis porque topouse fortuitamente con el mentres buscaba por software para resolver algún problema. A primeira cousa que atopará é o nome do proxecto."
ch02.xml:236,"A good name will not automatically make your project successful, and a bad name will not doom it&mdash;well, a <emphasis>really</emphasis> bad name probably could do that, but we start from the assumption that no one here is actively trying to make their project fail. However, a bad name can slow down adoption of the project, either because people don't take it seriously, or because they simply have trouble remembering it.","Un bo nome non fará o proxecto existoso de modo automático, e un mal nome non o condeará ó fracaso;mdash; ben, un nome <emphasis>verdadeiramente<emphasis> malo podería facelo, pero asumiremos que ninguén trata de que o seu proxecto fracase. Porén, un mal nome pode retrasar a adopción, ben sexa porque a xente non o toma en serio ou porque simplemente lle coste recordalo."
ch02.xml:244,A good name:,Un bo nome:
ch02.xml:247,"Gives some idea what the project does, or at least is related in an obvious way, such that if one knows the name and knows what the project does, the name will come quickly to mind thereafter.","Da certa idea do que fai o proxecto, ou está polo menos relacionado dunha maneira obvia, tal que si coñece o nome e coñece qué fai, recordarao rápidamente."
ch02.xml:252,"Is easy to remember. Here, there is no getting around the fact that English has become the default language of the Internet: ""easy to remember"" means ""easy for someone who can read English to remember."" Names that are puns dependent on native-speaker pronounciation, for example, will be opaque to the many non-native English readers out there. If the pun is particularly compelling and memorable, it may still be worth it; just keep in mind that many people seeing the name will not hear it in their head the way a native speaker would.","É sinxelo de recordar. Aquí, non evitaremos o feito de que o ingĺés se convertiu no idioma france de internet: ""sinxelo de recordar"" significa ""sinxelo de recordar para alguén que poida ler inglés"". Os nomes que son xogos de palabras dependentes da pronunciación do falante, por exemplo, serán opacos para moitos lectores non nativos. Se o xogo de palabras é particularmente chamativo e memorable, pode valer a pena; únicamente ten en mente que moita xente que le o nome non o oirá na súa cabeza da mesma maneira que un nativo."
ch02.xml:263,"Is not the same as some other project's name, and does not infringe on any trademarks. This is just good manners, as well as good legal sense. You don't want to create identity confusion. It's hard enough to keep track of everything that's available on the Net already, without different things having the same name.","Non ten o mesmo nome que outro proxecto existente e non infrinxe ningunha marca comercial. Esto son únicamente bos modales así como cumplir a legalidade. Non desexas crear confusión ó respecto da marca. Xa é suficientemente complexo manterse ó día de todo o que está dispoñible na rede, sen necesidade de que proxectos distintos teñan o mesmo nome."
ch02.xml:270,"The resources mentioned earlier in <xref linkend=""look-around""/> are useful in discovering whether another project already has the name you're thinking of. Free trademark searches are available at <ulink url=""http://www.nameprotect.org/""></ulink> and <ulink url=""http://www.uspto.gov/""></ulink>.","Os recursos mencionados anteriormente <xref linkend=""look-around""/> son útiles para saber si outro proxecto xa posúe o nome que estás pensando. Pódense consultar buscadores gratuitos de marcas rexistradas en <ulink url=""http://www.nameprotect.org/""></ulink> e <ulink url=""http://www.uspto.gov/""></ulink>."
ch02.xml:277,"If possible, is available as a domain name in the <systemitem>.com</systemitem>, <systemitem>.net</systemitem>, and <systemitem>.org</systemitem> top-level domains. You should pick one, probably <systemitem>.org</systemitem>, to advertise as the official home site for the project; the other two should forward there and are simply to prevent third parties from creating identity confusion around the project's name. Even if you intend to host the project at some other site (see <xref linkend=""starting-with-canned-hosting""/>), you can still register project-specific domains and forward them to the hosting site. It helps users a lot to have a simple URL to remember.","Si é posible, que esté dispoñible como un nome de dominio nos dominios de primeiro nivel <systemitem>.com</systemitem>, <systemitem>.net</systemitem> e <systemitem>.org</systemitem>. Deberías elexir, probablemente o <systemitem>.org</systemitem> para promocionalo como o sitio principal do proxecto; os outros dous deberían ser redirixidos a éste, son únicamente para evitar que terceiras partes creen unha confusión da marca sobre o nome do proxecto. Incluso se tes a intención de aloxar o proxecto en algún outro lugar (ver <xref linkend=""starting-with-canned-hosting""/>), podes rexistrar os dominios e redirixilos ó lugar onde o proxecto é aloxado. É de utilidade para os usuarios ter que recordar únicamente unha URL sinxela."
ch02.xml:300,Have a Clear Mission Statement,Ten unha clara declaración de intencións
ch02.xml:302,"Once they've found the project's web site, the next thing people will look for is a quick description, a mission statement, so they can decide (within 30 seconds) whether or not they're interested in learning more. This should be prominently placed on the front page, preferably right under the project's name.","Unha vez que se atopa a web do proxecto, o seguinte que a xente fai é buscar por unha descripción rápida, unha declaración de intencións para poder decidir (en menos de 30 segundos) si están interesados ou non en saber máis. Ésta debe ser colocada nun lugar prioritario da portada, preferiblemente xusto debaixo do nome do proxecto."
ch02.xml:308,"The mission statement should be concrete, limiting, and above all, short. Here's an example of a good one, from <ulink url=""http://www.openoffice.org/""></ulink>:","A declaración de intencións debe ser concreta, restrictiva e sobre todo, corta. Aquí un bo exemplo, a de <ulink url=""http://www.openoffice.org/""></ulink>:"
ch02.xml:312,"To create, as a community, the leading international office suite that will run on all major platforms and provide access to all functionality and data through open-component based APIs and an XML-based file format.","Crear, como unha comunidade, a ferramenta ofimática lider a nivel internacional, que funcione nas principais plataformas e proporcionar acceso a toda funcionalidade e datos a través de API's basadas en compoñentes abertos e un formato de ficheiros basado en XML."
ch02.xml:318,"In just a few words, they've hit all the high points, largely by drawing on the reader's prior knowledge. By saying ""<emphasis>as a community</emphasis>"", they signal that no one corporation will dominate development; ""<emphasis>international</emphasis>"" means that the software will allow people to work in multiple languages and locales; ""<emphasis>all major platforms</emphasis>"" means it will be portable to Unix, Macintosh, and Windows. The rest signals that open interfaces and easily understandable file formats are an important part of the goal. They don't come right out and say that they're trying to be a free alternative to Microsoft Office, but most people can probably read between the lines. Although this mission statement looks broad at first glance, in fact it is quite circumscribed: the words ""<emphasis>office suite</emphasis>"" mean something very concrete to those familiar with such software. Again, the reader's presumed prior knowledge (in this case probably from MS Office) is used to keep the mission statement concise.","En poucas palabras, teñen tocado os puntos relevantes, principalmente por explicalo tendo en conta os coñecementos previos do lector. Ó dicir, ""<emphasis>como unha comunidade</emphasis>"", sinalan que ningunha corporación dominará o desenvolvemento; ""<emphasis>internacional</emphasis>"" significa que o programa estará dispoñible en diversos linguaxes e codificacións; ""<emphasis>nas principais plataformas</emphasis>"" quere dicir que funcionará en UNIX, Macintosh e Windows. O resto comunica que as interfaces abertas e os formatos de arquivo fácilmente lexibles son un aspecto importante dos obxectivos. De boas a primeiras non din que están tratando de ser unha alternativa libre a Microsoft Office, pero a maioría da xente pode ler entre liñas. Aínda que esta declaración de intencións parece amplia a primeira vista, a verdade é que está bastante circunscrita: as palabras ""<emphasis>ferramenta ofimática</emphasis>"" indican algo moi concreto a todos aqueles familiarizados con este tipo de programas. De novo, asumir os coñecementos previos do lector (neste caso probablemente de MS Office) permite obter unha declaración de intencións concisa."
ch02.xml:335,"The nature of a mission statement depends partly on who is writing it, not just on the software it describes. For example, it makes sense for OpenOffice.org to use the words ""<emphasis>as a community</emphasis>"", because the project was started, and is still largely sponsored, by Sun Microsystems. By including those words, Sun indicates its sensitivity to worries that it might try to dominate the development process. With this sort of thing, merely demonstrating awareness of the <emphasis>potential</emphasis> for a problem goes a long way toward avoiding the problem entirely. On the other hand, projects that aren't sponsored by a single corporation probably don't need such language; after all, development by community is the norm, so there would ordinarily be no reason to list it as part of the mission.","A natureza da declaración de intención depende parcialmente de quen a escriba, non só do programa que intenta describir. Por exemplo, ten sentido que OpenOffice.orf use as palabras ""<emphasis>como unha comunidade</emphasis>"" xa que o proxecto foi iniciado, e aínda é ampliamente patrocinado, por Sun Microsystems. Incluindo esas palabras, Sun amosa unha sensibilidade hacia aqueles que poden pensar que intentará controlar o proceso de desenvolvemento. Con esta clase de cousas, amosando preocupación por problemas potenciais, avánzase moito no camiño de evitar o problema por completo. Por outra parte, os proxectos que non están patrocinados por unha única corporación probablemente non necesiten tal linguaxe; despois de todo, o desenvolvemento feito pola comunidade é a norma, co cal non existiría razón algunha para listalo como parte dos obxectivos."
ch02.xml:353,State That the Project is Free,Declara que o proxecto é libre
ch02.xml:355,"Those who remain interested after reading the mission statement will next want to see more details, perhaps some user or developer documentation, and eventually will want to download something. But before any of that, they'll need to be sure it's open source.","Aqueles que manteñan o interese logo de ler a declaración de obxectivos desexarán coñecer máis detalles, cecáis a documentación de usuario ou a de desenvolvedor, incluso poden desexar descargar algo. Mais antes de todo iso, necesitarán saber que é software libre."
ch02.xml:360,"<emphasis>The front page must make it unambiguously clear that the project is open source.</emphasis> This may seem obvious, but you would be surprised how many projects forget to do it. I have seen free software project web sites where the front page not only did not say which particular free license the software was distributed under, but did not even state outright that the software was free at all. Sometimes the crucial bit of information was relegated to the Downloads page, or the Developers page, or some other place that required one more mouse click to get to. In extreme cases, the license was not given anywhere on the web site at all&mdash;the only way to find it was to download the software and look inside.","<emphasis>A portada debe deixar claro, sen ambiguidades, que o proxecto é software libre.</emphasis> Aínda que poida parecer obvio, sorprenderíaste de cantos proxectos o olvidan. Teño visto webs de proxectos de software libre que non só non indican a licencia particular que usan, senón que nin sequera indica que o proxecto é libre. Algunhas veces, esta información crucial foi relegada á páxina de descargas, á de desenvolvedores ou a algún outro lugar que require un click para chegar a el. En casos extremos, a licencia non se indicou en ningún lugar do sitio web &mdash; a única maneira de atopala era descargar o programa e mirar dentro."
ch02.xml:372,"Don't make this mistake. Such an omission can lose many potential developers and users. State up front, right below the mission statement, that the project is ""free software"" or ""open source software"", and give the exact license. A quick guide to choosing a license is given in <xref linkend=""license-quickstart""/><phrase output=""printed""> later in this chapter</phrase>, and licensing issues are discussed in detail in <xref linkend=""legal""/>.","Non cometas este erro. Tal omisión pode provocar a perda de moitos usuarios e desenvolvedores potenciais. Indícao dende o principio, xusto debaixo da declaración de obxectivos, que o proxecto é software libre, mostrando a licencia particular elexida. Pódese ver unha guía rápida para elexir licencia en <xref linkend=""license-quickstart""/><phrase output=""printed"">máis adiante neste mesmo capítulo</phrase>, e algún aspecto concretos sobre o licenciamento son discutidos en detalle en <xref linkend=""legal""/>."
ch02.xml:382,"At this point, our hypothetical visitor has determined&mdash;probably in a minute or less&mdash;that she's interested in spending, say, at least five more minutes investigating this project. The next sections describe what she should encounter in that five minutes.","Chegados a este punto, un hipotético visitante da web, ten decidido&mdash; probablemente nun minuto ou menos&mdash; que está interesado en invertir outros cinco minutos informándose sobre o proxecto. As seguintes seccións describen qué debería atopar nos seguintes 5 minutos."
ch02.xml:392,Features and Requirements List,Lista de funcionalidades e requerementos
ch02.xml:394,"There should be a brief list of the features the software supports (if something isn't completed yet, you can still list it, but put ""<emphasis>planned</emphasis>"" or ""<emphasis>in&nbsp;progress</emphasis>"" next to it), and the kind of computing environment required to run the software. Think of the features/requirements list as what you would give to someone asking for a quick summary of the software. It is often just a logical expansion of the mission statement. For example, the mission statement might say:","Debería existir unha breve lista de funcionalidades que o programa soporta (si algo aínda non está completo, podes listalo, pero pon ""<emphasis>planeado<emphasis>"" ou ""<emphasis>en &nbsp; progreso</emphasis>"" cerca da funcionalidade), así como o entorno necesario para que o programa funcione. Pensa na lista de funcionalidades/requerementos como o que lle darías a alguén se preguntase por un resumo do proxecto. Habitualmente é unha expansión da declaración de obxectivos. Por exemplo, a declaración de obxectivos podería dicir:"
