comment,original,translation
ch03.xml:129,"Primarily a centralized, one-way conduit of information from the project out to the public. The web site may also serve as an administrative interface for other project tools.",É ante todo un conducto centralizado e unidireccional de transmisión de información dende o proxecto cara ao público. O sitio web pode tamén funcionar como interfaz administrativa para outras ferramentas do proxecto.
ch03.xml:136,Mailing lists,Listas de correo
ch03.xml:138,"Usually the most active communications forum in the project, and the ""medium of record.""","Xeralmente constitúen os foros de comunicación máis activos do proxecto, ademáis do ""medio de arquivado"""
ch03.xml:143,Version control,Control de versións
ch03.xml:145,"Enables developers to manage code changes conveniently, including reverting and ""change porting"". Enables everyone to watch what's happening to the code.","Permite aos desenvolvedores xestionar convenientemente os cambios no código, incluindo a reversión e o traslado de cambios (""change porting""). Permite así mesmo que todo o mundo coñeza que é o que se está a facer có código."
ch03.xml:151,Bug tracking,"Seguimento de erros (""Bug Tracking"")"
ch03.xml:153,"Enables developers to keep track of what they're working on, coordinate with each other, and plan releases. Enables everyone to query the status of bugs and record information (e.g., reproduction recipes) about particular bugs. Can be used for tracking not only bugs, but also tasks, releases, new features, etc.","Permite aos desenvolvedores manter o control sobre qué é no que están a traballar, coordinarse cós demáis e planificar as liberacións de novas versións. Permite que todos os colaboradores poidan facer consultas acerca do estado en que se atopa a resolución de erros e gravar información (p.e.: procedimentos de reproducción) sobre erros concretos. Pode ser usado non só para facer seguimento dos erros, se non tamén de tarefas, versións, novas funcionalidades, etc"
ch03.xml:173,Real-time chat,Chat en tempo real (IRC)
ch03.xml:175,"A place for quick, lightweight discussions and question/answer exchanges. Not always archived completely.",É o lugar onde se celebran discusións rápidas e lixeiras e se producen intercambios de preguntas/respostas. Non sempre se arquivan completamente.
ch03.xml:183,"Each tool in this set addresses a distinct need, but their functions are also interrelated, and the tools must be made to work together. Below we will examine how they can do so, and more importantly, how to get people to use them. The web site is not discussed until the end, since it acts more as glue for the other components than as a tool unto itself.","Cada ferramenta das descritas aborda unha necesidade concreta, pero as súas funcións están interrelacionadas, e deben estar configuradas dexeito que poidan traballar conxuntamente. Máis adiante examinaremos cómo facer iso e, máis importante, cómo conseguir que a xente as empregue. O sitio web non se trata ata o final, dado que actúa máis como aglomerante dos demáis compoñentes que como unha ferramenta en sí mesma."
ch03.xml:190,"You may be able to avoid a lot of the headache of choosing and configuring these tools by using a <firstterm>canned hosting</firstterm> site: a server that offers prepackaged, templatized web areas with all the accompanying tools needed to run a free software project. See <xref linkend=""canned-hosting""/><phrase output=""printed""> later in this chapter</phrase> for a discussion of the advantages and disadvantages of canned hosting.","Podedes evitarvos un bó feixe das dóres de cabeza derivadas da selección e configuración destas ferramentas empregando un sitio web do tipo<firstterm>canned hosting (aloxamento enlatado)</firstterm>: un servidor que ofrece areas web preempaquetadas e regularizadas que conteñen todas as ferramentas necesarias para manexar un proxecto de software libre. Podedes consultar o apartado <xref linkend=""canned-hosting (aloxamento enlatado)""/><phrase output=""printed""> máis adiante neste capítulo</phrase>, no que se discute sobre as ventaxas e desventaxas deste tipo de sitios web."
ch03.xml:204,Mailing Lists,Listas de Correo
ch03.xml:206,"Mailing lists are the bread and butter of project communications. If a user is exposed to any forum besides the web pages, it is most likely to be one of the project's mailing lists. But before they experience the mailing list itself, they will experience the mailing list interface&mdash;that is, the mechanism by which they join (""subscribe to"") the list. This brings us to Rule #1 of mailing lists:","As listas de correo son o pan e o sal das comunicacións nun proxecto. Si un usuario está exposto a un foro máis aló das páxinas web, o máis probable é que se trate dunha das listas de correo do proxecto. Pero antes de chegar a usar as listas en sí mesmas, primeiro terán que experimentar o uso das súas interfaces&mdash; é decir, o mecanismo polo cal se suscriben (""suscribe to"") á lista en cuestión. Isto nos leva á Regra nº1 das listas de correo:"
ch03.xml:215,Don't try to manage mailing lists by hand&mdash;get list management software.,Non tratedes de xestionar as listas de correo manualmente&mdash;empregade software de xestón de listas
ch03.xml:219,"It will be tempting to put this off. Setting up mailing list management software might seem like overkill at first. Managing small, low-traffic lists by hand will seem seductively easy: you just set up a subscription address that forwards to you, and when someone mails it, you add (or remove) their email address in some text file that holds all the addresses on the list. What could be simpler?","Deixar esta regra de lado pode resultar tentador. Configurar o software de xestión de listas pode parecer matar moscas a canonazos. Xestionar listas pequenas, con pouco tráfico de mensaxes, a man pode resultar seductoramente sinxelo: simplesmente creas unha dirección de suscripción redireccionada a tí, e cando alguén manda unha mensaxe a ela, tí engades (ou borras) a súa dirección de email dun arquivo de texto que contén todas as direccións da lista. Podería ser máis sinxelo?"
ch03.xml:227,"The trick is that good mailing list management&mdash;which is what people have come to expect&mdash;is not simple at all. It's not just about subscribing and unsubscribing users when they request. It's also about moderating to prevent spam, offering the mailing list in digest versus message-by-message form, providing standard list and project information by means of auto-responders, and various other things. A human being monitoring a subscription address can supply only a bare minimum of functionality, and even then not as reliably and promptly as software could.","O truco está en que unha boa xestión da lista de correo&mdash;que é o que a xente espera&mdash;non é sinxela en absoluto. No se trata tan só de suscrbir ou dar de baixa a os usuarios cando o pidan. ten tamén que ver con moderala, prevenir o spam, ofertar a lista en formato ""digest"" ademáis de no de mensaxes completas, fornecer información estándar sobre a lista e o proxecto mediante mensaxes de resposta automática, e moitas outras cousas. Un ser humano que faga seguimento da lista de altas e baixas estará aportando tan só unha mínima parte das funcionalidades requeridas; e incluso entón, non en forma tan segura e áxil como o faría o software."
ch03.xml:237,Modern list management software usually offers at least the following features:,O software de xestión de listas actual ofrece cando menos as seguintes utlidades:
ch03.xml:242,Both email- and web-based subscription,Suscripción tanto por email coma a través dunha páxina web
ch03.xml:244,"When a user subscribes to a list, she should <emphasis>promptly</emphasis> get an automated welcome message in reply, telling her what she has subscribed to, how to interact further with the mailing list software, and (most importantly) how to unsubscribe. This automatic reply can be customized to contain project-specific information, of course, such as the project's web site, FAQ location, etc.","Cando un usuario se suscribe a unha lista debería recibir <emphasis>inmediatamente</emphasis> unha mensaxe automática de benvida, decíndolle a qué se ten suscrto, como interactuar en adiante có software de xestión da lista e (moi importante) cómo darse de baixa. Esta resposta automática pode ser personalizada para que conteña información especifica do proxecto, dende logo, tal como a dirección da súa páxina web,a localización das FAQ (Frequently Asked Questions = Preguntas Respondidas Frecuentemente), etc"
ch03.xml:255,Subscription in either digest mode or message-by-message mode,"Suscripción en modo ""digest"" (só resumos das mensaxes) ou en modo de mensaxes completas"
ch03.xml:258,"In digest mode, the subscriber receives one email per day, containing all the list activity for that day. For people who are following a list loosely, without participating, digest mode is often preferable, because it allows them to scan all the subjects at once and avoid the distraction of emails coming in at random times.","En modo digest, o suscriptor recibe só.unha mensaxe por día contendo a totalidade da actividade da lista nese día. Para xente que está a seguir unha lista de xeito desligado, sen participar realmente na súa actividade, o modo digest adoita ser o máis axeitado xa que les permite explorar a totalidade das materias tratadas dunha vez e evitar a distracción que supón que as mensaxes estean entrando de maneira aleatoria."
ch03.xml:267,Moderation features,Utilidades de moderación
ch03.xml:269,"To ""moderate"" is to check posts to make sure they are a)&nbsp;not&nbsp;spam, and b)&nbsp;on&nbsp;topic, before they go out to the entire list. Moderation necessarily involves humans, but software can do a lot to make it easier. There is more said about moderation later.","""Moderar"" consiste en controlar que as mensaxes entrantes:a)&nbsp;non son&nópico da bsp;spam, e b)&nbsp;se corresponden có&nbsp;tópico da lista, previamente á súa distribución aos restantes usuarios da mesma. O feito de moderar as listas é unha tarefa típicamente humana, pero o software pode contribuir enormemente a facela máis sinxela. Diremos máis sobre a moderación máis adiante."
ch03.xml:278,Administrative interface,Interfaz adinistrativa
ch03.xml:280,"Among other things, this enables an administrator to go in and remove obsolete addresses easily. This can become urgent when a recipient's address starts sending automatic ""I am no longer at this address"" replies back to the list in response to every list post. (Some mailing list software can even detect this by itself and unsubscribe the person automatically.)","Entre outras cousas, permite ao administrador dar de baixa direccións obsoletas de maneira sinxela. Isto pode ser urxente si a dirección dun usuario comenza a emitir mensaxes automáticas do tipo ""Non estou xa nesta dirección"" en resposta a cada mensaxe enviada á lista. Algúns softwares de listas de correos poden incluso detectar estas situacións por sí mesmos e dar de baixa automáticamente á persoa en cuestión."
ch03.xml:290,Header manipulation,Manipulación de cabeceiras
ch03.xml:292,Many people have sophisticated filtering and replying rules set up in their mail readers. Mailing list software can add and manipulate certain standard headers for these people to take advantage of (more details below).,Moita xente ten implantadas no seu software de correo electrónico regras de filtrado e de resposta realmente sofisticadas. O software de xestión de listas de correo pode engadir e manipular as cabeceiras estándar para que esta xente se beneficie delas (algúns detalles máis adiante).
ch03.xml:299,<term>Archiving</term>,<term>Arquivado</term>
ch03.xml:301,"All posts to the managed lists are stored and made available on the web; alternatively, some mailing list software offers special interfaces for plugging in an external archiving tool such as MHonArc (<ulink url=""http://www.mhonarc.org/""></ulink>). As <xref linkend=""using-archives""/><phrase output=""printed""> in <xref linkend=""communications""/></phrase> discusses, archiving is crucial.","Todas as mensaxes enviadas a listas xestionadas son almacenadas e postas ao dispor dos interesados na web; alternativamente, algúns softwares de listas de correo ofrecen interfaces especiais para enlazar ferramentas externas de arquivado tales como MHonArc (<ulink url=""http://www.mhonarc.org/""></ulink>). Como se comenta en <xref linkend=""usando os arquivos""/><phrase output=""printed""> en <xref linkend=""comunicacións""/></phrase> , o arquivado é unha tarefa crucial."
ch03.xml:315,"The point of all this is merely to emphasize that mailing list management is a complex problem that has been given a lot of thought, and mostly been solved. You certainly don't need to become an expert in it. But you should be aware that there's always room to learn more, and that list management will occupy your attention from time to time in the course of running a free software project. Below we'll examine a few of the most common mailing list configuration issues.","A intencón de todos estes comentarios é facer énfase en que a xestón das listas de correo é un problema complexo sobre o que se ten pensado moito, e en grande medida solucionado. Certamente vos non precisades convertirvos en expertos na materia. Pero deberíades saber que sempre hai máis sobre o que aprender, e que a xestión das listas vai ocupar a vosa atención de cando en vez ao longo da vida dun proxecto de software libre. Máis adiante examinaremos unhas poucas das cusetións máis frecuentes relativas á configuración das listas de correo."
ch03.xml:326,Spam Prevention,Prevención do spam
ch03.xml:328,"Between when this sentence is written and when it is published, the Internet-wide spam problem will probably double in severity&mdash;or at least it will feel that way. There was a time, not so long ago, when one could run a mailing list without taking any spam-prevention measures at all. The occasional stray post would still show up, but infrequently enough to be only a low-level annoyance. That era is gone forever. Today, a mailing list that takes no spam prevention measures will quickly be submerged in junk emails, to the point of unusability. Spam prevention is mandatory.","Entre o momento en que esta frase foi escrita e aquel en que foi publicada, seguramente o problema do spam ten duplicado a súa severidade&mdash;ou cando menos se percibirá dise xeito. Houbo un tempo, non hai tanto, cando un podía por en marcha unha lista de correo sin ter que tomar ningunha medida anti-spam. A mensaxe perniciosa ocasional podía certamente aparecer, pero de xeito tan pouco frecuente que se consideraba un inconvinte de baixo nivel. Ese tempo foise para sempre. Hoxe en día, unha lista de correo que non adopta ningunha precaución anti-spam verase rápidamente asolagada por correos basura, ata o punto de resultares inutilizable. A prevención anti-spam é polo tanto obligatoria."
ch03.xml:339,"We divide spam prevention into two categories: preventing spam posts from appearing on your mailing lists, and preventing your mailing list from being a source of new email addresses for spammers' harvesters. The former is more important, so we examine it first.","A prevención anti-spam pode ser dividda en dúas categorías: a que prevén que entren mensaxes spam na túa lista, e aquela que trata de evitar que a lista se convirta nunha fonte de direccións de correo electrónico para os spammers que as colleitan. A primeira é a máis importante, así que a analizaremos en primeiro lugar."
ch03.xml:346,Filtering posts,Filtrado das mensaxes
ch03.xml:348,"There are three basic techniques for preventing spam posts, and most mailing list software offers all three. They are best used in tandem:","Hai tres técnicas básicas para prevenir a entrada de mensaxes basura, e os máis dos software de listas fornecen as tres. Trabalan mellor cando se usan en tandem:"
ch03.xml:354,Only auto-allow postings from list subscribers.,Somentes permtir automáticamente aquelas mensaxes enviadas á lista por suscriptores.
ch03.xml:357,"This is effective as far as it goes, and also involves very little administrative overhead, since it's usually just a matter of changing a setting in the mailing list software's configuration. But note that posts which aren't automatically approved must not be simply discarded. Instead, they should be passed along for moderation, for two reasons. First, you want to allow non-subscribers to post. A person with a question or suggestion should not need to subscribe to a mailing list just to make a single post there. Second, even subscribers may sometimes post from an address other than the one by which they're subscribed. Email addresses are not a reliable method of identifying people, and shouldn't be treated as such.","Esta é unha medida efectiva cando está activa, e implica moi pouco traballo adinistrativo, xa que normalmente supón cambiar tan só unha opción na configuración do software de xestión da lista. Pero tende en conta que as mensaxes que non son automáticamente aprovadas non deben ser simplemente descartadas. Pola contra, deben pasar a ser moderadas por dúas razóns. A primeira é que ides querer que os non suscriptores poidan contribuir. Unha persoa que quere facer un comentario ou unha suxestión non debería ter que suscribirse tan śo para enviar unha única mensaxe. En segundo lugar, incluso os suscriptores poden, en ocasións, enviar mensaxes dende direccións distintas a aquela coa que se deron de alta na lista. As direccións de correo electrónico no son un método fiable de identificación das persoas, e non deberían ser tratadas como tales."
ch03.xml:373,Filter posts through spam-filtering software.,Filtrado de mensaxes a través de software de control de spam.
ch03.xml:376,"If the mailing list software makes it possible (most do), you can have posts filtered by spam-filtering software. Automatic spam-filtering is not perfect, and never will be, since there is a never-ending arms race between spammers and filter writers. However, it can greatly reduce the amount of spam that gets through to the moderation queue, and since the longer that queue is the more time humans must spend examining it, any amount of automated filtering is beneficial.","Si o software da lista de correo o permite (os máis deles o fan), podedes facer que as mensaxes sexan controladas por unha aplicación de filtrado de spam. O filtrado automático de spam non é perfecto, e nunca o será, xa que hai unha carreira inacabable entre os spammers e os escritores de filtros. Nembargantes, pode reducir sensiblemente a cantidade de spam que atravesa a cola de moderación, e dado que canto máis longa é a cola máis tempo de dedicación require dos humanos, calquera cantidade de filtrado automático resulta beneficiosa."
ch03.xml:386,"There is not space here for detailed instructions on setting up spam filters. You will have to consult your mailing list software's documentation for that (see <xref linkend=""mailing-list-software""/><phrase output=""printed""> later in this chapter</phrase>). List software often comes with some built-in spam prevention features, but you may want to add some third-party filters. I've had good experiences with these two: SpamAssassin (<ulink url=""http://spamassassin.apache.org/""></ulink>) and SpamProbe (<ulink url=""http://spamprobe.sourceforge.net/""></ulink>). This is not a comment on the many other open source spam filters out there, some of which are apparently also quite good. I just happen to have used those two myself and been satisfied with them.","Non temos espacio dabondo neste libro para transmitirvos instruccións detalladas sobre cómo configurar os filtros anti-spam. Teredes que consultar as instruccións do software da vosa lista para élo (ver <xref linkend=""software de listas de correo""/><phrase output=""printed""> máis adiante neste capítulo</phrase>). O software de listas de correo inclúe frecuentemente algunha utilidade preconfigurada de prevención anti-spam, pero poida que vos querades engadir algúns filtros de terceiros. Persoalmente teño boas experiencias con estes dous: SpamAssassin (<ulink url=""http://spamassassin.apache.org/""></ulink>) e SpamProbe (<ulink url=""http://spamprobe.sourceforge.net/""></ulink>). Isto non supón ningunha valoración de outros filtros anti-spam libres, algúns dos cales son aparentemente bastante bós. É só que eu usei os dous mencionados e quedei moi satisfeito con eles."
ch03.xml:405,Moderation.,Moderación.
ch03.xml:406,"For mails that aren't automatically allowed by virtue of being from a list subscriber, and which make it through the spam filtering software, if any, the last stage is <firstterm>moderation</firstterm>: the mail is routed to a special address, where a human examines it and confirms or rejects it.","Para aquelas mensaxes que non son automáticamente autorizadas por proceder dun suscriptor da lista, e que pasen ao través do software de filtrado de spam, si é o caso, o último paso é o da <firstterm>moderación</firstterm>: a mensaxe e enviada a unha dirección especial, na que un ahumano a examina e decide si é aprovada ou rexeitada."
ch03.xml:413,"Confirming a post takes one of two forms: you can accept the post just this once, or you can tell the list software to allow this and all future posts from the same sender. You almost always want to do the latter, in order to reduce the future moderation burden. Details on how to confirm vary from system to system, but it's usually a matter of replying to a special address with the command ""accept"" (meaning accept just this one post) or ""allow"" (allow this and future posts).","A aprovación dunha mensaxe pode facerse de dúas maneiras: se pode acetar a mensaxe só por esta vez, ou podes decirlle á lista que acepte ésta e calquera outra mensaxe que no futuro proceda do mesmo remitente. As máis das veces é ésto último o que se fai, xa que así se reduce a carga do traballo de moderación. Os detalles sobre cóm se fai varían de sistema a sistema, pero xeralmente consiste en responder a unha determinada dirección de correo coa mensaxe ""aceptar"" (o que signifca que se acepta tan só esta mensaxe) ou ""permitir"" (aprovando ésta e outras mensaxes futuras)"
ch03.xml:423,"Rejecting is usually done by simply ignoring the moderation mail. If the list software never receives confirmation that something is a valid post, then it won't pass that post on to the list, so simply dropping the moderation mail achieves the desired effect. Sometimes you also have the option of responding with a ""reject"" or ""deny"" command, to automatically disapprove future mails from the same sender without even running them through moderation. There is rarely any point doing this, since moderation is mostly about spam prevention, and spammers tend not to send from the same address twice anyway.","O rexeitamento faise xeralmente sin máis que ignorar a mensaxe de moderación. Si o software da lista non da recibido a confirmación de que algo é unha mensaxe válida, non a pasará á lista, así que o efecto desexado se produce si simplesmente non se da curso á mensaxe de moderación. Ás veces tamén tés a opción de responder cós comandos ""rexeitar"" ou ""denegar"" para que ningunha mensaxe do meso remitente sexa aceptada no futuro sin necesidade de sometelas a moderación. Xeralmente non ten moito sentido facer isto, xa que a moderación tenta controlar  spam, e os spammers moi raramente empregan dúas veces a mesma dirección."
ch03.xml:437,"Be sure to use moderation <emphasis>only</emphasis> for filtering out spams and clearly off-topic messages, such as when someone accidentally posts to the wrong mailing list. The moderation system will usually give you a way to respond directly to the sender, but don't use that method to answer questions that really belong on the mailing list itself, even if you know the answer off the top of your head. To do so would deprive the project's community of an accurate picture of what sorts of questions people are asking, and deprive them of a chance to answer questions themselves and/or see answers from others. Mailing list moderation is strictly about keeping the list free of junk and off-topic emails, nothing more.","Tende coidado de empregar a moderación <emphasis>tan só</emphasis> para filtrar o spam e as mensaxes craramente fóra de tópico, como cando alguén manda accidentalmente un correo á lista equivocada. o sistema de moderación adoita permitir a rsposta directa ao remitente, pero non se debe usar este método para dar resposta a preguntas que en realidade entren no ámbito de actividade da propia lista, aínda que teñades absolutamente crara a resposta. Facer iso privaría á comunidade do coñecemento exacto acerca de qué clase de preguntas plantexa a xente, e lles impediría respostar por eles mesmos ou ver as respostas que outros poidan enviar. A moderación das  listas de correo ten que ver exclusivamente con mantelas libres de correo basura e mensaxes fóra de tópico, nada máis."
ch03.xml:453,Address hiding in archives,Ocultamento de direccións nos arquivos
